actual_value,predicted_value,residual,absolute_residual
212.39,43.75,168.64,168.64
361.23,50.96,310.27000000000004,310.27000000000004
338.09,45.43,292.65999999999997,292.65999999999997
191.5,44.47,147.03,147.03
542.12,43.26,498.86,498.86
1137.06,47.35,1089.71,1089.71
489.08,49.88,439.2,439.2
1107.45,46.46,1060.99,1060.99
627.46,45.72,581.74,581.74
804.48,45.15,759.33,759.33
600.52,41.45,559.0699999999999,559.0699999999999
955.79,47.2,908.5899999999999,908.5899999999999
269.09,46.08,223.01,223.01
296.51,42.45,254.06,254.06
233.67,47.92,185.75,185.75
57.24,48.1,9.14,9.14
554.86,41.0,513.86,513.86
951.75,43.48,908.27,908.27
461.9,47.83,414.07,414.07
218.36,48.67,169.69,169.69
916.74,45.48,871.26,871.26
832.92,46.11,786.81,786.81
893.02,48.91,844.11,844.11
392.92,46.19,346.73,346.73
363.7,45.47,318.23,318.23
602.46,47.21,555.25,555.25
236.79,46.59,190.2,190.2
422.93,40.75,382.18,382.18
212.43,41.32,171.11,171.11
153.24,49.66,103.58000000000001,103.58000000000001
255.79,48.36,207.43,207.43
867.58,46.78,820.8000000000001,820.8000000000001
491.18,49.78,441.4,441.4
212.77,45.53,167.24,167.24
991.0,49.11,941.89,941.89
787.27,43.77,743.5,743.5
584.63,47.59,537.04,537.04
210.47,43.21,167.26,167.26
347.12,47.2,299.92,299.92
655.01,46.9,608.11,608.11
897.63,48.91,848.72,848.72
519.46,44.73,474.73,474.73
469.02,47.81,421.21,421.21
560.12,43.35,516.77,516.77
792.9,44.97,747.93,747.93
319.77,52.4,267.37,267.37
547.54,43.09,504.44999999999993,504.44999999999993
887.18,45.68,841.5,841.5
660.04,45.23,614.81,614.81
268.58,42.34,226.23999999999998,226.23999999999998
603.17,45.11,558.06,558.06
597.88,53.97,543.91,543.91
329.63,43.62,286.01,286.01
386.98,51.22,335.76,335.76
80.26,49.88,30.380000000000003,30.380000000000003
387.89,51.02,336.87,336.87
608.55,42.65,565.9,565.9
711.45,49.77,661.6800000000001,661.6800000000001
601.44,44.63,556.8100000000001,556.8100000000001
