pickup_location,delivery_location,pickup_datetime,weight,service_type,synthetic_delivery_time_min,route_distance_km_synthetic,model_prediction_min
Bari,Salerno,2026-04-11 20:58:00,4.6,Express,212.39,183.1,43.75
Salerno,Reggio Calabria,2026-07-20 18:50:00,0.83,Express,361.23,295.6,50.96
Reggio Calabria,Trapani,2026-01-25 19:13:00,1.06,Express,338.09,272.4,45.43
Milano,Verona,2026-03-19 18:26:00,4.77,Premium,191.5,140.4,44.47
Milano,Roma,2026-06-25 17:38:00,0.43,Express,542.12,476.9,43.26
Torino,Lecce,2026-06-14 17:09:00,7.07,Premium,1137.06,1003.1,47.35
Bari,Perugia,2026-08-18 15:56:00,0.84,Express,489.08,430.6,49.88
Reggio Calabria,Milano,2026-08-07 16:02:00,5.41,Express,1107.45,976.4,46.46
Catania,Pescara,2026-01-04 12:27:00,1.61,Express,627.46,555.5,45.72
Bari,Sassari,2026-01-25 19:24:00,6.25,Express,804.48,699.2,45.15
Palermo,Lecce,2026-04-07 15:53:00,28.34,Express,600.52,482.7,41.45
Verona,Palermo,2026-09-19 15:35:00,0.61,Premium,955.79,837.2,47.2
Roma,Ancona,2026-05-11 17:23:00,4.88,Express,269.09,208.6,46.08
Salerno,Roma,2026-09-01 08:03:00,0.85,Express,296.51,233.2,42.45
Roma,Napoli,2026-01-17 19:51:00,4.04,Express,233.67,188.3,47.92
Salerno,Napoli,2026-09-20 15:09:00,2.6,Express,57.24,46.2,48.1
Palermo,Pescara,2026-01-17 20:13:00,3.29,Express,554.86,487.9,41.0
Bologna,Catania,2026-08-09 08:26:00,1.58,Express,951.75,837.3,43.48
Sassari,Perugia,2026-08-28 10:16:00,5.18,Express,461.9,412.8,47.83
Napoli,Roma,2026-03-22 20:17:00,1.09,Express,218.36,188.3,48.67
Palermo,Genova,2026-03-24 16:41:00,7.15,Express,916.74,791.1,45.48
Lecce,Bologna,2026-06-08 16:03:00,2.25,Express,832.92,725.0,46.11
Cagliari,Lecce,2026-07-17 12:39:00,1.12,Express,893.02,783.1,48.91
Trapani,Cagliari,2026-02-02 14:46:00,9.16,Express,392.92,325.7,46.19
Salerno,Lecce,2026-03-06 14:38:00,2.86,Premium,363.7,289.7,45.47
Pescara,Sassari,2026-07-25 09:46:00,11.4,Premium,602.46,507.6,47.21
Milano,Bologna,2026-08-09 14:55:00,7.05,Express,236.79,200.6,46.59
Sassari,Roma,2026-02-11 14:13:00,1.72,Express,422.93,353.8,40.75
Palermo,Catania,2026-08-31 11:22:00,2.83,Premium,212.43,166.4,41.32
Milano,Torino,2026-08-25 11:47:00,3.27,Express,153.24,125.1,49.66
Napoli,Roma,2026-08-25 17:45:00,8.73,Express,255.79,188.3,48.36
Catania,Firenze,2026-03-07 16:27:00,4.08,Express,867.58,767.6,46.78
Bari,Perugia,2026-07-02 13:34:00,3.39,Express,491.18,430.6,49.78
Perugia,Bologna,2026-02-13 15:27:00,2.61,Premium,212.77,175.1,45.53
Torino,Bari,2026-02-23 10:22:00,2.9,Premium,991.0,864.4,49.11
Bari,Verona,2026-01-20 13:59:00,7.48,Premium,787.27,675.9,43.77
Torino,Sassari,2026-05-15 14:51:00,3.01,Premium,584.63,487.8,47.59
Sassari,Cagliari,2026-07-14 10:32:00,2.28,Express,210.47,174.6,43.21
